,ISUS11,GOVE11,REVE11,BOVA11
2024-07-04,-0.002256315106026317,-0.2227064678831703,-6.585590132097199e-24,-0.09870986501089167
2024-07-05,-0.0019298389454137335,-0.190482089123354,-5.6326921188929496e-24,-0.08442710031314628
2024-07-06,-0.0016547950904845464,-0.16333426509795568,-4.8299114735487704e-24,-0.07239440961333111
2024-07-07,-0.0014219941692470732,-0.14035597152970747,-4.1504268370501486e-24,-0.06220977385550352
2024-07-08,-0.0012241665289052417,-0.12082966737452995,-3.573020005614414e-24,-0.05355515836256551
2024-07-09,-0.001055491800941495,-0.104180861192437,-3.0807028549445584e-24,-0.04617593212613215
2024-07-10,-0.0009112609182174137,-0.08994475101201024,-2.6597308570731316e-24,-0.03986608164200844
2024-07-11,-0.0007876288801324928,-0.07774182135668346,-2.2988814669110363e-24,-0.03445739481551443
2024-07-12,-0.0006814309318477559,-0.08883289485831801,-1.988917597766611e-24,-0.029811419121950216
2024-07-15,-0.0005657996884608866,-0.07375894149628123,-1.6514204222272413e-24,-0.17747273428288962
2024-07-16,-0.00047350371724456675,-0.19222688200382104,-1.3820327663758456e-24,-0.14852252679936695
2024-07-17,-0.00039877986379530995,-0.1618914636391072,-1.1639334988606976e-24,-0.12508411412744075
2024-07-18,-0.00033758380296297586,-0.13704788261471615,-9.853182986768902e-25,-0.10588892462000224
2024-07-19,-0.00028699339833612237,-0.11650984798782259,-8.376582184870423e-25,-0.0900203802911269
2024-07-20,-0.0002448447752354432,-0.09939889805368932,-7.146374774425159e-25,-0.07679974489579015
2024-07-21,-0.00020950165123795257,-0.08505075615134611,-6.114801976752958e-25,-0.06571377050970231
2024-07-22,-0.00017970424695168172,-0.0729539934245634,-5.245094146026379e-25,-0.056367305813685153
2024-07-23,-0.0001544674636929608,-0.06270869231930408,-4.508498843576768e-25,-0.1748429446163416
2024-07-24,-0.00013301052910924928,-0.05399788502852108,-3.8822273787351125e-25,-0.1505556705499176
2024-07-25,-0.00011470729992518917,-0.0465673780472296,-3.3480042767485163e-25,-0.1298381005839218
2024-07-26,-9.9050457471263e-05,-0.04021121673880892,-2.8910222404673927e-25,-0.11211599670138522
2024-07-29,-8.20710959703013e-05,-0.03331815634481886,-2.3954393529026616e-25,-0.0928969230430354
2024-07-30,-6.856906510504379e-05,-0.02783677742544865,-2.0013505973382408e-25,-0.07761386745098627
2024-07-31,-5.7670515694189854e-05,-0.023412326053019482,-1.6832506153694266e-25,-0.06527771312124288
2024-08-01,-4.876680965223706e-05,-0.019797715251898457,-1.423374862677043e-25,-0.08607738215886405
2024-08-02,-4.1420944164720724e-05,-0.016815536301959186,-1.208968376911412e-25,-0.0731113325984014
2024-08-03,-3.531103116708296e-05,-0.014335113272367852,-1.0306360923925212e-25,-0.06232683962448075
2024-08-05,-2.9557940695344447e-05,-0.011999548411961521,-8.627185185636217e-26,-0.052172167406597844
2024-08-06,-2.4898172849740422e-05,-0.010107836454482896,-7.267121555343092e-26,-0.10700673679796822
2024-08-07,-2.108066147249777e-05,-0.138884269542238,-6.152890427430556e-26,-0.09059993306850851
2024-08-08,-1.7923840629916792e-05,-0.23039861209050244,-5.231497483059711e-26,-0.07703262838880288
2024-08-09,-1.5293155836880795e-05,-0.1965829730387119,-4.4636698083078864e-26,-0.0657265378999277
2024-08-10,-1.3086792830682805e-05,-0.16822169796983147,-3.819690498740994e-26,-0.05624408684177853
2024-08-12,-1.0993913588621744e-05,-0.14131917843732378,-3.208834114037623e-26,-0.047249363431482415
2024-08-13,-9.287727465370116e-06,-0.11938733230669486,-2.7108432763750744e-26,-0.03991655991529845
2024-08-14,-7.88250704287506e-06,-0.23749295790681754,-2.30069640801045e-26,-0.03387723916672288
2024-08-15,-6.715394996633263e-06,-0.20232890533281006,-1.9600471097695643e-26,-0.028861254568188933
2024-08-16,-5.739259616944608e-06,-0.17291881062832154,-1.6751388756803146e-26,-0.02466604465122437
2024-08-19,-4.703072551143319e-06,-0.14169941179196138,-1.3727031344435528e-26,-0.02021274611832365
2024-08-20,-3.895238200737565e-06,-0.11736007808340339,-1.1369175426087913e-26,-0.016740856103264683
2024-08-21,-3.253327739937494e-06,-0.0980198842570579,-9.495607685020099e-27,-0.013982069579400874
2024-08-22,-2.7355021666196236e-06,-0.08241825822385121,-7.984211082355168e-27,-0.07407083234314829
2024-08-23,-2.312663969995188e-06,-0.13150821787079112,-6.750057639989668e-27,-0.06262138896392729
2024-08-26,-1.873678439494331e-06,-0.10654557498958098,-5.468774378587713e-27,-0.050734714543567226
2024-08-27,-1.5382685704399134e-06,-0.08747269855448278,-4.4898012210029485e-27,-0.04165262041104165
2024-08-28,-1.27590420643608e-06,-0.07255350995181716,-3.724028673550328e-27,-0.03454842321606756
2024-08-29,-1.0668809381089577e-06,-0.06066753003088414,-3.1139447497237127e-27,-0.17632984869121093
2024-08-30,-8.979089007017754e-07,-0.05105903878541305,-2.6207598310139948e-27,-0.1484028207307477
2024-09-02,-7.240859870977283e-07,-0.04117470544094352,-2.1134164810068154e-27,-0.11967405919790566
2024-09-03,-5.923612380368959e-07,-0.03368425839666182,-1.7289465967911488e-27,-0.09790311527987666
